oracion_original,label_original,puntaje_positivo,puntaje_negativo,resultado_inferencia,sentimiento,tiempo_ejecucion
goodby silverstein s new site i enjoy it,positive,1.25,0.0,7.832480804631893,positive,0.0
wow everyone at the google i o conference got free g s with a month of unlimited service,positive,0.625,1.5,4.344033029254975,neutral,0.0
dood i got a free google android phone at the i o conference the g,positive,0.0,0.625,4.5905748922424365,neutral,0.0
the g is amazing btw a huge improvement over the g,positive,0.625,0.125,5.5168417500423095,neutral,0.0
html demos lots of great stuff to come yes i m excited io googleio,positive,0.5,0.625,4.942109439738135,neutral,0.0
yay happy place place place i love google,positive,1.5,0.0,8.303201027714506,positive,0.0010077953338623047
googleio o d bringing d graphics to the browser very nice tbh funfun,positive,1.125,0.0,7.0737136838597445,positive,0.0
awesome viral marketing for funny people,positive,0.0,0.0,4.999999999999997,neutral,0.0
saw night at the museum out of sheer desperation who is funding these movies,negative,0.0,0.25,4.933326226202213,neutral,0.000997781753540039
night at the museum pretty furkin good,positive,1.125,0.25,6.8179769486836905,positive,0.0
watching night at the museum giggling,positive,0.375,0.0,5.192608741437041,neutral,0.0
back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh,negative,0.875,1.25,4.810794913525523,neutral,0.0009989738464355469
just watched night at the museum so stinkin cute,positive,0.5,0.0,5.341631453476036,neutral,0.0
so night at the museum was awesome much better than part next weekend we ll see up,positive,1.375,0.0,8.329251729590652,positive,0.0
saw the new night at the museum and i loved it next is to go see up in d,positive,1.0,0.5,5.91010007855996,neutral,0.0009970664978027344
it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think,negative,0.25,1.25,3.3524608076666924,neutral,0.0
as u may have noticed not too happy about the gm situation nor aig lehman et al,negative,1.0,0.875,5.25837410072786,neutral,0.0
gm good riddance sad though,negative,1.125,0.75,5.533542889852427,neutral,0.0009989738464355469
i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a,negative,0.375,0.25,5.122285280245056,neutral,0.0
having the old coca cola guy on the gm board is stupid has heck tcot ala,negative,0.375,0.375,5.041725845377097,neutral,0.0
rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw,negative,0.5,0.875,4.591621827697206,neutral,0.001001596450805664
give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good,negative,1.0,0.0,6.5255612064122746,neutral,0.0
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the,negative,0.375,0.375,5.041725845377097,neutral,0.0
i own a gm car and it is junk as far as quality compared to a honda,negative,0.375,0.125,5.174269352800354,neutral,0.0
sad day bankrupt gm,negative,0.125,0.75,4.432901748143907,neutral,0.0
is upset about the whole gm thing life as i know it is so screwed up,negative,1.0,0.375,6.236999900523677,neutral,0.0
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,negative,1.125,0.5,6.035100799877416,neutral,0.0009970664978027344
wftb joining a bit late my connection was down boo time warner,negative,0.125,0.125,5.005169796714109,neutral,0.0
cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c,negative,0.5,0.25,5.266731374319692,neutral,0.0
i am furious with time warner and their phone promotions,negative,0.0,0.0,4.999999999999997,neutral,0.0
just got home from chick fil a with the boys damn my internets down stupid time warner,negative,0.375,1.0,4.169884614360719,neutral,0.0
could time warner cable suck more no,negative,0.0,0.0,4.999999999999997,neutral,0.0009980201721191406
pissed at time warner for causin me to have slow internet problems,negative,0.0,0.625,4.5905748922424365,neutral,0.0
ummm having some time warner problems,negative,0.0,0.25,4.933326226202213,neutral,0.0
you guys see this why does time warner have to suck so much ass really wish i could get u verse at my apartment,negative,0.25,0.25,5.01948251016965,neutral,0.0
rt the upside to time warner unhelpful phone operators superslow on site service crap that s not an upside,negative,0.125,1.125,3.572326262407436,neutral,0.0
rt new time warner slogan time warner where we make you long for the days before cable,negative,0.25,0.0,5.086717180713975,neutral,0.0009980201721191406
confirmed it s time warner s fault not facebook s that fb is taking about minutes to load so tempted to switch to verizon,negative,0.625,1.0,4.65249761278585,neutral,0.0
time warner epic fail,negative,0.0,0.0,4.999999999999997,neutral,0.0
i know how sad is that rt st day of hurricane season that s less scarey than govt taking over gm,negative,0.125,1.25,3.1261009639597774,negative,0.0010006427764892578
gm files bankruptcy not a good sign,negative,0.75,0.625,5.310795237092629,neutral,0.0
yankees won mets lost its a good day,positive,0.875,0.25,6.008652614955376,neutral,0.0
my dentist appt today was actually quite enjoyable,positive,0.5,0.0,5.341631453476036,neutral,0.0
i hate the effing dentist,negative,0.0,0.75,4.404625816205314,neutral,0.0
i hate going to the dentist,negative,0.0,0.75,4.404625816205314,neutral,0.0
i hate the dentist who invented them anyways,negative,0.0,0.75,4.404625816205314,neutral,0.0009958744049072266
this dentist s office is cold,negative,0.0,0.75,4.404625816205314,neutral,0.0
just applied at safeway yeeeee,positive,0.125,0.0,5.022246360284839,neutral,0.0
safeway place is a nightmare right now bumming,negative,0.5,0.0,5.341631453476036,neutral,0.0
hate safeway select green tea icecream bought two cartons what a waste of money gt _ lt,negative,0.0,1.375,2.4841784314797097,negative,0.0
nike rocks i m super grateful for what i ve done with them amp the european division of nike is beyond,positive,0.25,0.125,5.069177061744043,neutral,0.0
have you tried nike v addictive,positive,0.125,0.0,5.022246360284839,neutral,0.0
the nike training club beta iphone app looks very interesting,positive,1.25,0.0,7.832480804631893,positive,0.0009906291961669922
argghhhh why won t my jquery appear in safari bad safari,negative,0.125,0.625,4.616745507428135,neutral,0.0
i m ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js,positive,0.0,1.625,1.677747319602767,negative,0.0
super investors a great weekend read here from warren buffet oldie but a goodie,positive,0.25,0.0,5.086717180713975,neutral,0.0010025501251220703
reading michael palin book the python years great book i also recommend warren buffet amp nelson mandela s bio,positive,0.375,0.0,5.192608741437041,neutral,0.0
i mean i m down with notre dame if i have to it s a good school i d be closer to dan i d enjoy it,positive,1.25,0.875,5.4025516048940805,neutral,0.0
i can t watch tv without a tivo and after all these years the time warner dvr still sucks,negative,0.125,0.5,4.762990896789062,neutral,0.000997781753540039
i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis,positive,1.875,0.5,5.96788074985692,neutral,0.0005106925964355469
i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads,negative,1.125,1.875,4.851966304611181,neutral,0.0
i love my kindle no more stacks of books to trip over on the way to the loo,positive,0.625,0.0,5.538030311332957,neutral,0.0
although today s keynote rocked for every great announcement at amp t shit on us just a little bit more,negative,0.0,0.625,4.5905748922424365,neutral,0.0010097026824951172
its not so much my obsession with cell phones but the iphone i m a slave to at amp t forever because of it,negative,0.0,1.5,1.7248391505817202,negative,0.0
fuzzball is more fun than at amp t p,negative,0.0,0.0,4.999999999999997,neutral,0.0010018348693847656
today is a good day to dislike at amp t vote out of office indeed,negative,0.875,0.625,5.494971611188367,neutral,0.0
got my wave sandbox invite extra excited too bad i have class now but i ll play with it soon enough io wave,positive,0.75,1.375,4.586771335275356,neutral,0.0
looks like summize has gone down too many tweets from wwdc perhaps,negative,0.25,0.25,5.01948251016965,neutral,0.0
thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen,positive,2.0,0.375,6.132803713491349,neutral,0.0
man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please,negative,0.625,0.75,4.9555963257381155,neutral,0.0010025501251220703
i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky,positive,2.0,0.375,6.132803713491349,neutral,0.0
the kindle seems the best ereader but will it work in the uk and where can i get one,positive,1.25,0.0,7.832480804631893,positive,0.0
i have a google addiction thank you for pointing that out hahaha,positive,0.0,0.0,4.999999999999997,neutral,0.0
dearest you rich bastards the visa card you sent me doesn t work why screw a little guy like me,negative,0.125,0.5,4.762990896789062,neutral,0.0
excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest,positive,1.0,0.625,5.646403098092018,neutral,0.0009996891021728516
gonna go see bobby flay moro at shoreline eat and drink gonna be good,positive,1.0,0.0,6.5255612064122746,neutral,0.0
can t wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please,positive,0.25,0.25,5.01948251016965,neutral,0.0
my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today,positive,0.5,0.25,5.266731374319692,neutral,0.0
fighting with latex again,negative,0.0,0.0,4.999999999999997,neutral,0.0010004043579101562
we love you too and don t want you to die latex the devil,negative,0.875,0.625,5.494971611188367,neutral,0.0
hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i can t take any more,negative,0.25,1.625,3.220529485571438,negative,0.0
shit s hitting the fan in iran craziness indeed iranelection,negative,0.5,0.5,5.070942524789702,neutral,0.0
monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop,negative,2.125,0.625,5.88573305614177,neutral,0.0
getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby,positive,0.25,0.375,4.940967204955835,neutral,0.0010035037994384766
i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here,positive,0.25,0.375,4.940967204955835,neutral,0.0
i just created my first latex file from scratch that didn t work out very well see it s a great time waster,negative,1.0,0.0,6.5255612064122746,neutral,0.0
using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor,positive,0.625,0.375,5.363457968287489,neutral,0.000995635986328125
after using latex a lot any other typeset mathematics just looks hideous,positive,0.125,0.625,4.616745507428135,neutral,0.0
on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now,negative,1.125,3.0,1.6967989722854924,negative,0.0
ahhh back in a real text editing environment i lt latex,positive,0.0,0.0,4.999999999999997,neutral,0.0010020732879638672
trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect,negative,0.375,0.25,5.122285280245056,neutral,0.0
reading the tweets coming out of iran the whole thing is terrifying and incredibly sad,negative,0.625,1.375,4.365951333370301,neutral,0.0
